,Date,Open,High,Low,Close,Adj Close,Volume
950,2013-10-28,4435.0,4460.0,4385.0,4436.75,4334.669922,29481.0
951,2013-10-29,4411.549805,4510.0,4322.0,4436.5,4334.425293,4427.0
952,2013-10-30,4405.0,4515.0,4397.049805,4413.850098,4312.296386999999,5332.0
953,2013-10-31,4439.600098,4449.950195,4418.75,4435.350098,4333.301758,965.0
954,2013-11-01,4429.950195,4445.0,4370.100098,4400.299805,4299.058594,32963.0
955,2013-11-05,4415.049805,4435.0,4385.0,4401.950195,4300.670897999999,1085.0
956,2013-11-06,4457.799805,4457.799805,4392.0,4425.850098,4324.02002,3438.0
957,2013-11-07,4401.649902,4495.0,4401.649902,4452.850098,4350.398438,16742.0
958,2013-11-08,4454.899902,4461.549805,4402.049805,4420.149902,4318.45166,3780.0
959,2013-11-11,4488.0,4488.0,4354.100098,4391.549805,4290.509765999999,10564.0
960,2013-11-12,4330.149902,4423.0,4330.149902,4380.600098,4279.811035,722.0
961,2013-11-13,4396.399902,4398.0,4310.0,4321.950195,4222.510742,3384.0
962,2013-11-14,4322.0,4379.899902,4300.0,4307.5,4208.393066,4814.0
963,2013-11-18,4308.0,4340.0,4303.600098,4313.950195,4214.695313,8087.0
964,2013-11-19,4300.0,4360.0,4300.0,4343.5,4243.564453,880.0
965,2013-11-20,4350.0,4389.0,4325.0,4335.600098,4235.846191,12422.0
966,2013-11-21,4369.649902,4369.850098,4230.0,4286.700195,4188.072265999999,946.0
967,2013-11-22,4413.100098,4413.149902,4280.0,4289.950195,4191.247559,1878.0
968,2013-11-25,4231.049805,4390.0,4151.149902,4364.350098,4263.936035,1252.0
969,2013-11-26,4320.950195,4399.899902,4311.350098,4350.0,4249.916504,10008.0
970,2013-11-27,4349.950195,4400.0,4320.149902,4359.350098,4259.049805,2214.0
971,2013-11-28,4381.700195,4381.700195,4325.100098,4355.799805,4255.580566,3993.0
972,2013-11-29,4400.0,4429.0,4341.299805,4371.0,4270.433105,4671.0
973,2013-12-02,4370.049805,4389.899902,4340.0,4355.899902,4255.679688,3749.0
974,2013-12-03,4355.899902,4474.950195,4351.049805,4401.549805,4300.279297,8573.0
975,2013-12-04,4335.0,4464.850098,4285.149902,4336.450195,4236.677734000001,17706.0
976,2013-12-05,4401.0,4450.0,4310.049805,4317.5,4218.163086,5700.0
977,2013-12-06,4350.049805,4350.049805,4250.0,4296.149902,4197.304688,8437.0
978,2013-12-09,4400.0,4425.0,4325.350098,4369.049805,4268.525879,15772.0
979,2013-12-10,4355.049805,4447.299805,4226.600098,4321.600098,4222.168945,5561.0
980,2013-12-11,4375.0,4375.0,4305.0,4322.350098,4222.901855,2308.0
981,2013-12-12,4313.649902,4342.600098,4280.0,4301.299805,4202.334961,21476.0
982,2013-12-13,4319.0,4425.0,4235.0,4367.25,4266.768066,7779.0
983,2013-12-16,4310.0,4342.049805,4256.149902,4299.950195,4201.01709,4028.0
984,2013-12-17,4359.950195,4397.899902,4313.0,4326.700195,4227.151367,33874.0
985,2013-12-18,4368.649902,4516.850098,4325.0,4400.950195,4299.693359000001,30382.0
986,2013-12-19,4400.0,4447.049805,4325.450195,4341.950195,4242.05127,2630.0
